customer_id,initial_debt,initial_days_overdue,payment_history_score,persona
1000,2339.51,19,5,Sıkıntıda
1001,1196.14,29,6,Sıkıntıda
1002,630.29,35,6,Sıkıntıda
1003,1818.6,88,1,Güçlükte
1004,689.42,7,10,Unutkan
1005,6022.31,85,3,Güçlükte
1006,410.77,9,10,Unutkan
1007,1160.08,18,8,Dijital_Olmayan
1008,569.69,14,8,Unutkan
1009,132.29,9,8,Unutkan
1010,2502.39,33,7,Sıkıntıda
1011,2087.91,15,7,Sıkıntıda
1012,1644.88,22,7,Sıkıntıda
1013,3969.89,23,6,Sıkıntıda
1014,767.61,9,8,Unutkan
1015,1550.47,24,6,Sıkıntıda
1016,203.01,5,9,Unutkan
1017,745.31,18,8,Unutkan
1018,9659.21,47,2,Güçlükte
1019,123.11,15,8,Unutkan
1020,2828.6,41,5,Sıkıntıda
1021,675.55,16,9,Unutkan
1022,100.02,11,9,Unutkan
1023,1428.62,41,3,Güçlükte
1024,1103.0,21,8,Dijital_Olmayan
1025,104.27,15,9,Unutkan
1026,4704.24,89,4,Güçlükte
1027,2268.36,42,4,Güçlükte
1028,1342.7,22,7,Dijital_Olmayan
1029,665.56,10,9,Unutkan
1030,9423.04,31,2,Güçlükte
1031,3019.12,31,6,Sıkıntıda
1032,2799.36,23,6,Sıkıntıda
1033,1526.8,15,5,Sıkıntıda
1034,5425.06,39,1,Güçlükte
1035,2469.22,28,6,Sıkıntıda
1036,1835.64,26,6,Sıkıntıda
1037,836.05,38,6,Sıkıntıda
1038,4411.4,22,6,Sıkıntıda
1039,266.21,14,8,Unutkan
1040,1301.7,51,1,Güçlükte
1041,3251.55,62,4,Güçlükte
1042,4131.56,34,5,Sıkıntıda
1043,935.94,8,8,Unutkan
1044,868.99,6,10,Unutkan
1045,435.42,17,10,Unutkan
1046,165.99,14,9,Unutkan
1047,187.18,17,9,Unutkan
1048,944.49,14,10,Unutkan
1049,7039.68,85,2,Güçlükte
1050,591.7,6,10,Unutkan
1051,6555.93,41,4,Güçlükte
1052,9695.79,75,4,Güçlükte
1053,698.9,19,8,Unutkan
1054,384.01,8,9,Unutkan
1055,4102.01,35,5,Sıkıntıda
1056,2989.67,40,5,Sıkıntıda
1057,1967.59,63,4,Güçlükte
1058,206.06,18,9,Unutkan
1059,611.94,19,8,Unutkan
1060,1696.95,70,2,Güçlükte
1061,1287.23,41,1,Güçlükte
1062,4026.88,39,5,Sıkıntıda
1063,780.66,9,10,Unutkan
